item_code,quantity,cost_price,description
1586,2,78.00,BAHAMA BLUE BASE: 2-0X1-0X0-8 PT BRP
1661,2,106.00,DELUXE GREY DIE: 1-8X0-8X2-0 POL 5 SERP TOP
1685,2,141.00,"BLACK SLANT: 2-0X0-10X1-6 POL 2 SERP TOP (POLISHED 2"" TOP & FACE/  SB/ 3"" ROCK PITCH FRONT NOSE/ BRP"
1686,2,150.00,"BLACK SLANT: 2-0X0-10X1-6 ALL POL SERP TOP (2"" TOP 3"" BOTTOM NOSE)"
1748,2,133.00,IMPALA BLACK DIE: 1-8X0-8X2-0 POL5 SERP TOP
1810,2,53.00,TROPICAL GREEN BASE: 2-0X0-10X0-8 PT SB BRP
1997,2,113.00,"INDIA RED BASE 2-0X1-0X0-8 PT BRP 2"" MARGIN"
2111,2,108.00,SELECT GREY DIE: 1-8X0-8X2-2 POL 5 SERP TOP
2178,2,68.00,BLACK BASE: 2-0X1-0X0-6 PT SAWN BACK BRP
2358,2,130.00,BAHAMA BLUE BASE: 3-6X1-0X0-8 PT BRP
2564,2,72.00,DELUXE GREY BASE: 3-6X1-0X0-8 PT BRP
2748,2,146.00,BLUE DIE: 1-8X0-8X2-6 POL 2 SERP TOP (POLISHED FRONT AND BACK / ROCK PITCH TOP AND ENDS)
2890,2,96.00,"IMPERIAL PINK BASE: 3-6X0-10X0-10 PT SB BRP ¼"" TOLERANCE"
2899,2,220.00,SELECT GREY DIE: 1-10X0-8X2-6 POL5 SERP CARVED CWC 10 X 10
2957,2,175.00,BLACK DIE: 1-10X0-8X2-4 POL 2 SERP TOP POL FACE & BACK (ROCK PITCH TOP & SIDES)
3006,2,86.00,DELUXE GREY BASE: 3-6X1-2X0-8 PT BRP
3168,2,100.00,"SELECT GREY DIE: 1-8X0-8X2-0 POL 5 SERP TOP (1/4"" TOLERANCE)"
3175,2,170.00,SELECT GREY DIE: 2-6X0-8X2-4 POL 5 SERP TOP
3192,2,61.00,SELECT GREY BASE: 2-4X1-0X0-8 PT SB BRP
3243,2,402.00,©BLACK DIE: 2-6X0-8X2-2 POL5 SERP CARVED CWC 12X12
3276,2,237.00,SELECT GREY DIE: 3-6X0-8X2-4 POL5 SERP TOP
3286,2,97.00,SELECT GREY DIE: 1-8X0-8X2-2 POL2 SERP TOP BRP
3294,2,110.00,"SELECT GREY SLANT: 2-0X0-10X1-6 POL2(TOP&FACE), BACKSAWN,BRP,SERP TOP,2""TOP & 3"" BOTTOM NOSE"
3472,2,216.00,"EVERGREEN BASE: 3-6X0-10X0-8 PT SB BRP ¼"" TOLERANCE"
3477,2,301.00,BLACK DIE: 3-0X0-8X2-4 POL2 SERP TOP  (POL FRONT & BACK/ BRP)
3607,2,130.00,SELECT GREY DIE: 1-8X0-8X2-6 POL5 SERP TOP
3704,2,209.00,"BLACK WING: 2-6X0-8X1-8 ALL POL W/ 1"" CHECKS AT TOP, BACK & ONE END ( AS PER SKETCH )"
3733,2,222.44,RAINBOW RED DIE: 1-10X0-8X2-4 POL5 SERP TOP
3819,2,60.00,BLACK VASE: 0-8X0-8X0-10 ALL POL TURNED
3855,2,239.00,SELECT GREY DIE: 3-6X0-8X2-4 POL2 (FRONT&BACK) BRP SERP TOP
3860,2,100.00,SELECT GREY FLANGE MARKER: 2-4X1-4X0-8 PT SB BRP AS PER FAXED SKETCH
4032,2,101.00,BLACK BASE: 2-4X1-2X0-8 PT BRP
4059,2,270.00,BLACK DIE: 2-0X0-8X3-0 POL 5 SERP TOP
4156,2,12.00,BLACK MARKER: 1-2X0-8X0-4 PT BRP
4188,2,193.00,BLACK DIE: 1-11X0-8X1-10 ALL POL ( AS PER E-MAILED TEMPLATE)
4239,2,27.20,SELECT GREY MARKER: 2-0X1-0X0-4 PT BRP
4287,2,307.00,©BLACK DIE: 1-8X0-8X2-2 POL5 SERP CARVED 10X12 ST. ANTHONY & CHILD
4475,2,295.00,BLACK DIE: 1-8X0-8X2-2 POL5 SERP SHJ 10X12
4739,2,114.00,"BAHAMA BLUE BASE: 2-4X1-0X0-8 PT SB BRP 2"" POL MARGIN (3 SIDES)"
4806,2,114.00,"BLACK BASE: 2-4X1-0X0-8 PT POL FRONT BEVEL SAWN BACK BRP 2"" Rock Nose"
4811,2,115.00,INDIA RED HICKEY: 2-0X1-0X0-6/0-4 PT BRP
4861,2,123.00,SELECT GREY DIE: 1-8X0-8X2-4 POL5 SERP TOP
